group_id,time_idx,Year,Temperature_C,Humidity_%,Wind_Speed_m_s,Rainfall_mm,pH,yield
Andhra Pradesh_Ananthapur_chickpea,0,1966,20,60,1.5,600,6.5,500.0
Andhra Pradesh_Ananthapur_chickpea,1,1967,20,60,1.5,600,6.5,333.33
Andhra Pradesh_Ananthapur_chickpea,2,1968,20,60,1.5,600,6.5,384.62
Andhra Pradesh_Ananthapur_chickpea,3,1969,20,60,1.5,600,6.5,222.22
Andhra Pradesh_Ananthapur_chickpea,4,1970,20,60,1.5,600,6.5,411.76
Andhra Pradesh_Ananthapur_chickpea,5,1971,20,60,1.5,600,6.5,272.73
Andhra Pradesh_Ananthapur_chickpea,6,1972,20,60,1.5,600,6.5,148.15
Andhra Pradesh_Ananthapur_chickpea,7,1973,20,60,1.5,600,6.5,272.73
Andhra Pradesh_Ananthapur_chickpea,8,1974,20,60,1.5,600,6.5,240.0
Andhra Pradesh_Ananthapur_chickpea,9,1975,20,60,1.5,600,6.5,444.44
Andhra Pradesh_Ananthapur_chickpea,10,1976,20,60,1.5,600,6.5,384.62
Andhra Pradesh_Ananthapur_chickpea,11,1977,20,60,1.5,600,6.5,411.76
Andhra Pradesh_Ananthapur_chickpea,12,1978,20,60,1.5,600,6.5,416.67
Andhra Pradesh_Ananthapur_chickpea,13,1979,20,60,1.5,600,6.5,461.54
Andhra Pradesh_Ananthapur_chickpea,14,1980,20,60,1.5,600,6.5,473.68
Andhra Pradesh_Ananthapur_chickpea,15,1981,20,60,1.5,600,6.5,473.68
Andhra Pradesh_Ananthapur_chickpea,16,1982,20,60,1.5,600,6.5,640.0
Andhra Pradesh_Ananthapur_chickpea,17,1983,20,60,1.5,600,6.5,681.82
Andhra Pradesh_Ananthapur_chickpea,18,1984,20,60,1.5,600,6.5,264.71
Andhra Pradesh_Ananthapur_chickpea,19,1985,20,60,1.5,600,6.5,125.0
Andhra Pradesh_Ananthapur_chickpea,20,1986,20,60,1.5,600,6.5,250.0
Andhra Pradesh_Ananthapur_chickpea,21,1987,20,60,1.5,600,6.5,600.0
Andhra Pradesh_Ananthapur_chickpea,22,1988,20,60,1.5,600,6.5,601.77
Andhra Pradesh_Ananthapur_chickpea,23,1989,20,60,1.5,600,6.5,344.44
Andhra Pradesh_Ananthapur_chickpea,24,1990,20,60,1.5,600,6.5,981.23
Andhra Pradesh_Ananthapur_chickpea,25,1991,20,60,1.5,600,6.5,558.36
Andhra Pradesh_Ananthapur_chickpea,26,1992,20,60,1.5,600,6.5,530.0
Andhra Pradesh_Ananthapur_chickpea,27,1993,20,60,1.5,600,6.5,769.23
Andhra Pradesh_Ananthapur_chickpea,28,1994,20,60,1.5,600,6.5,794.12
Andhra Pradesh_Ananthapur_chickpea,29,1995,20,60,1.5,600,6.5,380.95
Andhra Pradesh_Ananthapur_chickpea,30,1996,20,60,1.5,600,6.5,538.46
Andhra Pradesh_Ananthapur_chickpea,31,1997,20,60,1.5,600,6.5,535.71
Andhra Pradesh_Ananthapur_chickpea,32,1998,20,60,1.5,600,6.5,1000.0
Andhra Pradesh_Ananthapur_chickpea,33,1999,20,60,1.5,600,6.5,349.11
Andhra Pradesh_Ananthapur_chickpea,34,2000,20,60,1.5,600,6.5,670.01
Andhra Pradesh_Ananthapur_chickpea,35,2001,20,60,1.5,600,6.5,1046.96
Andhra Pradesh_Ananthapur_chickpea,36,2002,20,60,1.5,600,6.5,370.37
Andhra Pradesh_Ananthapur_chickpea,37,2003,20,60,1.5,600,6.5,300.04
Andhra Pradesh_Ananthapur_chickpea,38,2004,20,60,1.5,600,6.5,226.07
Andhra Pradesh_Ananthapur_chickpea,39,2005,20,60,1.5,600,6.5,980.86
Andhra Pradesh_Ananthapur_chickpea,40,2006,20,60,1.5,600,6.5,368.01
Andhra Pradesh_Ananthapur_chickpea,41,2007,20,60,1.5,600,6.5,1045.02
Andhra Pradesh_Ananthapur_chickpea,42,2008,20,60,1.5,600,6.5,935.94
Andhra Pradesh_Ananthapur_chickpea,43,2009,20,60,1.5,600,6.5,1153.97
Andhra Pradesh_Ananthapur_chickpea,44,2010,20,60,1.5,600,6.5,780.98
Andhra Pradesh_Ananthapur_chickpea,45,2011,20,60,1.5,600,6.5,555.05
Andhra Pradesh_Ananthapur_chickpea,46,2012,20,60,1.5,600,6.5,861.95
Andhra Pradesh_Ananthapur_chickpea,47,2013,20,60,1.5,600,6.5,799.93
Andhra Pradesh_Ananthapur_chickpea,48,2014,20,60,1.5,600,6.5,568.07
Andhra Pradesh_Ananthapur_chickpea,49,2015,20,60,1.5,600,6.5,451.06
Andhra Pradesh_Ananthapur_chickpea,50,2016,20,60,1.5,600,6.5,258.98
Andhra Pradesh_Ananthapur_chickpea,51,2017,20,60,1.5,600,6.5,680.0
Andhra Pradesh_Ananthapur_cotton,0,1966,28,65,3.0,700,6.0,47.62
Andhra Pradesh_Ananthapur_cotton,1,1967,28,65,3.0,700,6.0,28.57
Andhra Pradesh_Ananthapur_cotton,2,1968,28,65,3.0,700,6.0,31.75
Andhra Pradesh_Ananthapur_cotton,3,1969,28,65,3.0,700,6.0,47.62
Andhra Pradesh_Ananthapur_cotton,4,1970,28,65,3.0,700,6.0,41.94
Andhra Pradesh_Ananthapur_cotton,5,1971,28,65,3.0,700,6.0,51.78
Andhra Pradesh_Ananthapur_cotton,6,1972,28,65,3.0,700,6.0,42.11
Andhra Pradesh_Ananthapur_cotton,7,1973,28,65,3.0,700,6.0,48.69
Andhra Pradesh_Ananthapur_cotton,8,1974,28,65,3.0,700,6.0,144.23
Andhra Pradesh_Ananthapur_cotton,9,1975,28,65,3.0,700,6.0,59.32
Andhra Pradesh_Ananthapur_cotton,10,1976,28,65,3.0,700,6.0,71.43
Andhra Pradesh_Ananthapur_cotton,11,1977,28,65,3.0,700,6.0,103.57
Andhra Pradesh_Ananthapur_cotton,12,1978,28,65,3.0,700,6.0,61.54
Andhra Pradesh_Ananthapur_cotton,13,1979,28,65,3.0,700,6.0,76.09
Andhra Pradesh_Ananthapur_cotton,14,1980,28,65,3.0,700,6.0,123.67
Andhra Pradesh_Ananthapur_cotton,15,1981,28,65,3.0,700,6.0,106.25
Andhra Pradesh_Ananthapur_cotton,16,1982,28,65,3.0,700,6.0,96.99
Andhra Pradesh_Ananthapur_cotton,17,1983,28,65,3.0,700,6.0,145.96
Andhra Pradesh_Ananthapur_cotton,18,1984,28,65,3.0,700,6.0,279.07
Andhra Pradesh_Ananthapur_cotton,19,1985,28,65,3.0,700,6.0,166.67
Andhra Pradesh_Ananthapur_cotton,20,1986,28,65,3.0,700,6.0,100.0
Andhra Pradesh_Ananthapur_cotton,21,1987,28,65,3.0,700,6.0,66.67
Andhra Pradesh_Ananthapur_cotton,22,1988,28,65,3.0,700,6.0,153.85
Andhra Pradesh_Ananthapur_cotton,23,1989,28,65,3.0,700,6.0,266.19
Andhra Pradesh_Ananthapur_cotton,24,1990,28,65,3.0,700,6.0,169.86
Andhra Pradesh_Ananthapur_cotton,25,1991,28,65,3.0,700,6.0,233.63
Andhra Pradesh_Ananthapur_cotton,26,1992,28,65,3.0,700,6.0,243.28
Andhra Pradesh_Ananthapur_cotton,27,1993,28,65,3.0,700,6.0,289.0
Andhra Pradesh_Ananthapur_cotton,28,1994,28,65,3.0,700,6.0,245.56
Andhra Pradesh_Ananthapur_cotton,29,1995,28,65,3.0,700,6.0,297.5
Andhra Pradesh_Ananthapur_cotton,30,1996,28,65,3.0,700,6.0,262.73
Andhra Pradesh_Ananthapur_cotton,31,1997,28,65,3.0,700,6.0,242.86
Andhra Pradesh_Ananthapur_cotton,32,1998,28,65,3.0,700,6.0,157.86
Andhra Pradesh_Ananthapur_cotton,33,1999,28,65,3.0,700,6.0,189.42
Andhra Pradesh_Ananthapur_cotton,34,2000,28,65,3.0,700,6.0,227.76
Andhra Pradesh_Ananthapur_cotton,35,2001,28,65,3.0,700,6.0,180.12
Andhra Pradesh_Ananthapur_cotton,36,2002,28,65,3.0,700,6.0,148.75
Andhra Pradesh_Ananthapur_cotton,37,2003,28,65,3.0,700,6.0,171.02
Andhra Pradesh_Ananthapur_cotton,38,2004,28,65,3.0,700,6.0,134.38
Andhra Pradesh_Ananthapur_cotton,39,2005,28,65,3.0,700,6.0,178.79
Andhra Pradesh_Ananthapur_cotton,40,2006,28,65,3.0,700,6.0,218.54
